record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Chargingactivation,PASS,PASS,,PASS,14.5,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
2,Pre_Discharge,PASS,PASS,,PASS,19.9,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
3,Pre_Discharge_ShortCircuit,PASS,PASS,,PASS,14.8,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
4,Set_Sleep,PASS,PASS,,PASS,1.2,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
5,Active,PASS,PASS,,PASS,3.1,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
6,ZVersion,2024,2024,,2024,1.2,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
7,CVersion,15,15,,15,0,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
8,BDVersion,100,100,,100,0,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
9,CellTemp1,-30,30,C,26,1.2,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
10,CellTemp2,-30,30,C,25,0,PASS,PASS,0,5D1BB430-8CAC-45BA-820B-9FCC822E68E5,12345678908527416,2024-05-08 09:43:08,2024-05-08 09:52:25,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
